Category,Manufacturer,Name,Conductivity {W/m-K},Thermal Diffusivity [mm2/s],Specific Heat {J/kg-K},Thermal Effusivity [Ws0.5/m2?K],Density {kg/m3},Roughness,Thermal Absorptance,Solar Absorptance,Visible Absorptance,Source,Date
Metal ,Thermtest,cesium,41.84,97.2,230,4243,1870,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal Liquid,Thermtest,cesium (liquid),25.104,54.4,251,3405,1840,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,chalk (avg prop),0.837,0.59,921,1089,1540,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,chloroform,0.13,0.0891,980,435.5,1489,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,chrome alum (Cr2(SO4)3.K2SO4.24H2O),2.092,0.86,1339,2262,1826,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Stone ,Thermtest,chrome brick (Cr2O3 32),1.172,0.58,628,1534,3200,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Stone ,Thermtest,chrome magnesite brick,2.092,0.93,753,2174,3000,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,chrome-nickel-iron superalloys,23.43,6.67,439,9074,8000,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,chromium,87.864,27.4,448,16782,7160,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,chromium carbide + ni (Cr(x)C(y) Ni),11.297,3.36,502,6165,6700,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
